Review,Rating,Tanggal,Username,Likes
"apk ny bagus juga sangat menghibur, tpi kenapa setelah update filter tiktok ny tidak bisa di gunakan? tiktok saya jadi mengalami bug setelah update, jadi nya saya ga bisa menggunakan kamera nya, mohon pihak tiktok tolong di perbaiki",4,2025-04-12 14:07:10,Pengguna Google,116
"apk ini bagus,cuma ada bug yang saya alami seperti tidak bisa Menonton vidio,tetapi bisa memutar foto geser,jika ingin menonton video harus bolak-balik play store update. kadang seperti itu tetapi sudah update tetep gak bisa nonton vidio yang ada di tiktok ini. JADI SAYA MEMINTA TOLONG KEPADA TIKTOK UNTUK MEMPERBAIKI KUALITAS TIKTOK INI YAAAAAA!!!!!!!!!",4,2025-04-11 08:36:47,Pengguna Google,295
"aplikasinya bagus sangat menyenangkan, penilaian saya, bintang yang menjawab, cuma di perhatikan dulu masala update-nya..di perangkat sya hampir setiap satu kali dalam seminggu sy selalu update..Tolonglah satu bulan begitu kalo mau di update..data terkuras bang..kalo di update tiap Minggu.. Terim kasih..",4,2025-04-13 08:46:40,Pengguna Google,19
"bagus sih aku suka banget,tp sayang nya knp kok setelah di update apk gak bisa di buka,kalo di bukak layar hitam dan tiba² hp mati dan pas bisa di bukak itu tiba tiba ngebug dan gak mau di geser sama sekali.dan tolong dr pihak tiktok apk nya lebih di upgrade lagi ya.....",4,2025-04-03 12:42:21,Pengguna Google,254
"Mengecewakan, Aplikasi susah untuk dibuka, membuat saya harus sering menghapus dan menginstal ulang aplikasi.Sangat mengganggu kenyamanan pengguna.Saya berharap aplikasi akan diperbaiki agar menjadi nyaman seperti sebelumnya.Terima kasih.",4,2025-04-14 22:01:35,Pengguna Google,10
"aplikasi nya sudah baguss bgt, lebih dari bagus malahan tpii ada satu masalah saat saya ingin membuka aplikasi ini, kdang suka tulisan 'tidak ada internet"" pdahal waktu saya cek wifi tidak ada masalah, klo diperbaiki saya akan kasih bintang lima😉",4,2025-04-07 16:21:57,Pengguna Google,283
aplikasi ini bagus tapi sekarang kurang bagus setelah update suara atau lagu tiktok berubah kalau kita favoritkan suara gak ada pas mau bikin video gak suka suara kormesial mending yang dulu tolong perbaiki ya soal nya suara kormesial rata rata suara pas tiktok dulu udh di cari lagu nya malah yg keluar suara jaman covid pengen suara atau lagu yg dulu gak mau suara kormesial,4,2025-04-12 19:33:15,Pengguna Google,10
"platform yg dpt digunakan utk membuat video kreatif dan terdapat banyak tantangan, tren, dan efek seru, algoritma yg cepat menyesuaikan preferensi pengguna. aplikasi ini cocok utk hiburan dan promosi. tetapi utk sebagian orang aplikasi ini bsa membuat kecanduan karena scroll terus-menerus, saat pengguna mencari sesuatu malah muncul beberapa konten tdk sesuai dgn pencarian/tdk pantas, dan tdk semua pengguna dpt membuat streak karna ada satu teman saya yang tdk bisa buat streak namun yg lain bisa.",4,2025-04-02 07:44:42,Pengguna Google,241
"bagus, bsa buat cari' informasi/berita jg smw ny bagus. cmn minus (-) ny suka ngbug lgi nonton tb' keluar sndiri, mw bkin vt tba' kluar sndiri jga, kdng gbsa dibuka apl ny, kadang pas buka apl ny gbsa liat vt' alias ngbug di logo tiktok pas awl' masuk apl. dikurangi lgi bug' ny. aku ksi 4 krna masi suka ada bug' gjelas. tolong dibenerin aj.",4,2025-04-13 10:09:41,Pengguna Google,3
"sebenarnya tiktok ini udah bagus aja, cuma saya minta tolong hilangkan bug nya. setiap kali saya masuk tiktok pasti langsung keluar dengan sendirinya. setiap kali nge scroll vt pasti ngelag, apalagi pernah ngestuck di vt itu dan keluar sendiri.",4,2025-03-27 04:29:51,Pengguna Google,164
"Pls, suka ngelag app nya waktu mw masuk/ buka tiktok pas dipencet malah gabisa masuk harus dipencet berulang ulang, kurangin dong lag nyaa. Terus pas ak keluar dari aplikasi trs masuk lagi malah gabisa sebenarnya ke2 nya lag nya sama, gabisa masuk.. Jd tolong, kurangin lagg (Jika bisa.)",4,2025-03-25 19:18:15,Pengguna Google,416
"tiktok kok Skrang jadi sering nge lag ya. tiap kali buka tiktok, ada pemberitahuan tiktok tidak memberi tanggapan dan akhirnya tutup aplikasi. pas di buka lagi gitu aja terus, padahal wifi kenceng penyimpanan hp pun masih banyak.",4,2025-03-24 16:10:22,Pengguna Google,401
"aplikasi nya sangat bagus,saya suka tapi saat update aplikasinya menjadi bug dan tidak bisa di buka cara ampuh nya harus mendownload ulang dan 1 minggu biasanya saya mendownload 4 kali atau 5 kali dalam 1 minggu saya harap bisa diperbaiki itu saja terimakasih..",4,2025-04-07 07:40:39,Pengguna Google,22
tiktok.tolong donk diperbaiki..knp skrg klo lg nontong tiktok jd sering ada iklan..bikin jd gk nyaman nonton..trus soal suara..knp skrg walaupun udh gk nonton live tiktok masih da suara yg nyala..pdahal udh gk nonton..makin gk bener ni tiktok..,4,2025-04-11 12:27:50,Pengguna Google,8
"aplikasinya bagus dan sangat memuaskan tentunya, tapii tolong di perbaiki lagii yaaa, soalnyaa setiap mau masuk ke aplikasinya pasti selalu ngeuji kesabaran bangett dan selalu keluar sendirinya jugaa, dan kadang juga kalau keluar dari aplikasinya pasti hp ku selalu mati sendirinya dan tentunya lemott bagettt, jadi tolong di perbaiki lagi dan perhatikan lagi yaa aplikasinyaa",4,2025-04-03 17:20:21,Pengguna Google,26
"ini aku aja yang merasa tik tok akhir-akhir ini sering ada update an ya? kalian ada yang ngerasa gitu juga? jujur ini annoying bgt ya, karena setiap saya ketinggalan update atau lupa update tik tok, pasti aplikasi ini tuh kaya nge bug dan nge freeze di logo nya aja. Tolong banget di developer tik tok makin kesini makin bikin kesel dan annoying nih, mohon bisa di perbaiki lagi yaa bug dan masalah-masalah lainnya",4,2025-04-06 14:05:16,Pengguna Google,41
"Baru pertama pakai malah lagg padahal jaringannya bagus 6G,kapasitas ram 6, kapasitas ruangan sisa 50 gb,aplikasi di hp gak banyak..tolong dong di perbaiki lagi kualitasnya jangan sampai lagg gini..bagaimana jika yang download ram 2 giga ya bisa bisa meledak hp nya...aplikasi ini serupa halnya dengan aplikasi shoopee..lag gak jelas ! Saya yakin jika tidak lag di hp low utamanya ram 1 dan 2 pasti banyak peminatnya",4,2025-01-27 23:17:59,Pengguna Google,1114
"ni apk bagus bngt untuk menonton klo gabuut , karena sudah miliaran / trill org yg sudah pakai. hm bagus lah , aplikasi nya bagus!! Saya approve beneran ✅. untuk nilai saya kasi 9.5/10 karena apa?, ini punya kekurangan sih karena suka ngelag pas masuk tiktok dan buat tiktok apalagi klo buat video / nyobain filter. Tolong diperbaiki ya owner!, sekian terima kasih 🙏",4,2025-02-04 16:13:27,Pengguna Google,578
"sebenernya apl nya bagus tpi setiap mau di buka selalu lama atau kadang suka keluar dri aplikasi, padahal memori nya udh di bersihkan tpi ttp aja gk bisa di buka apl nya, jdi harus hapus apl nya trs download lgi, cape bgt bisa smpe 3 kali dalam seminggu kayak gni, tolong di perbaiki.",4,2025-03-04 08:04:38,Pengguna Google,1953
mohon maaf.. kenapa kalau di buat live itu muncul nya itu hitam semua.. ini HP saya atau tik tok nya ya? 🙏.. oh ya.. itu kalau di bukak apk nya setiap dapat 2 video kenapa nge bug??.. padahal sudah update loo.. mohon di perbaiki lagi🙏🙏🙏.. setiap mau buka tik tok selalu nge bug.. ini juga udah update.. tolong di perbaiki dong..,4,2025-03-06 13:48:24,Pengguna Google,367
"Mohon tik tok tolong saya, tik tok sering keluar sendiri, ngelag padahal di aplikasi lain nya nggk nge lag. Tolong, saya sejak kemaren tidak bisa nonton tik tok karena ngelag dan sering keluar sendiri. Padahal jaringan bagus dan uda di coba pake beberapa cara tetap tidak bisa",4,2025-03-09 21:05:35,Pengguna Google,1200
Mohon bila nanti ada pembaruan aplikasi mohon didesain kembali agar fitur bersihkan sampah atau cash dapat juga diakses oleh kami disabilitas netra dengan pembaca layar di ponsel sehingga aplikasinya dapat berjalan dengan baik dan kami makin nyaman untuk menggunakannya dan kalau memungkinkan ukuran aplikasinya bisa diperkecil agar menghemat ruang penyimpanan,4,2025-01-25 21:05:34,Pengguna Google,738
"Pertama fitur dislike ilang, kedua fitur terjemahan otomatis di komen ilang, sebelumnya ada tuh logo translate di bawah komen, ilang dong padahal baru kemaren gue nemu, gimana sih ini? Tolong di perbaiki ya, yang konsisten dikit kalo mau bikin fitur baru, jangan plin-plan",4,2025-02-12 20:01:39,Pengguna Google,131
"plisss adain fitur foto tp hasil fotonya hd donggg. percuma filternya cakep"" tp ga bisa dibuat fotoo. iyasi tiktok dari awal kan brandingnya ttg vid"" pendek, tp coba deh adain fitur foto yg hasilnya hd, pasti tambah bagusss. PLIS PLIS PLIS PIHAK TIKTOK LIAT REVIEWKUU",4,2025-03-28 11:44:33,Pengguna Google,18
"aplikasinya bagus dech mantap dan rekomendasi, tp lemotnya luar biasa, jadi ga maksimal memakai nya mau upload vidio dan mengunakan fitur yg laennya pun juga ga maksimal karna lemot nya, kadang juga kluar2 sendiri dan tidak menangappin. tolong di perbaiki agar bisah maksimal mengunakan fitur2 nya dan upload vidio/ngedit nya",4,2025-04-07 12:27:47,Pengguna Google,9
"Hai saya salah satu user tiktok, saya memberikan rating 4 bintang bukan tanpa alasan, saya sangat suka fitur"" di tiktok karena simpel dan mudah membuat konten tapi bisakah fitur komentar bisa di perpanjang dan tidak ada batasan untuk mengetik kata karena itu sangat menggangu ketika ingin berargumen pada konten tertentu, itu menghambat saya untuk mengetik sesuatu dalam satu komentar. Mungkin itu saya jika bisa di di tambahkan saya beri reting yang lebih tinggi",4,2025-01-26 06:35:58,Pengguna Google,194
"udah bagus secara menyeluruh tetapi ada bug yang mungkin terjadi,vidio yang udh kita tonton itu muncul lagi dengan berjarak 4 vidio kayak udh di tonton itu sama yang posting vidio itu tadi juga sama ,ibarat vidio itu memutar lagi ,itu aja sih kalau fitur lain oke lah bagus udah Topp mungkin bug scroll aja yang udh kita tonton kembali lagi padahal di dalam rekomendasi loh itu bukan di pencarian, jika bug nya udh di perbaiki saya akan ganti ulasan lagi ke b5 terimakasih",4,2025-04-07 02:48:43,Pengguna Google,8
Mulai Februari ini sering bgt nge bug. Segala cara dicoba gak berhasil. Satu2 nya cara hrs Lepas Pasang Aplikasi... Merepotkan sekali kalo mau main hrs Lepas Pasang Aplikasi dlu... 😭😭😭 Segera perbaiki please...,4,2025-02-22 06:47:03,Pengguna Google,530
"tolong yaa tiktok untuk memori dan data nya di perbarui lagi ,bisa lebih di rendah kan lagi karena supaya penggunaan data dan memori nya bisa menghemat data dan ga bikin hp nge freeze sama nge bug capek ke kounter hp suru hapus apk ini terus padahal aslinya seru semoga usulannya bisa membantu dan bisa di terima",4,2025-03-25 21:35:39,Pengguna Google,40
"tik tok sebnernya dah bagus tapi bug/lag yang sring dikeluhkan herannya ga pernah di prbaiki, pdhl hp saya penyimpanan nya lmyn besar dan dicoba di aplikasi lain juga lancar¹ aja tapi kalo di tik tok herannya lag bgt, di tambah kdang ga muncul gambar dan ditmbah lagi kalo mau kluar agak susah kya ga langsung keluar stuck dulu baru keluar dan pas keluar aplikasi juga lag nya kbawa smpe keluar, dn untuk developer tik tok tolong untuk ditanggapi keluhan yang selalu di pertanyakan warga tik tok ini.",4,2025-01-17 21:55:03,Pengguna Google,725
sebenernya udah bagus tapi ada satu kekurangan di tiktok ku kok gk ada megic/kecepatan nya ya tapi yg lain udah bgus dan satu lagi akun ku kok pas pertama login tiba tiba ke privasi sendiri ya tolong jelaskan gmn cara hilangin privasi nya udah itu aja jadi udah bagus tapi mohon di perbaiki lagi ya kekurangan nya🥰😘,4,2025-04-07 14:58:42,Pengguna Google,3
